Index ,distict_name,member ,party ,prior_experience ,education ,assumed_office ,residence ,born 
1,Alabama 1,Jerry Carl,Republican,Mobile County Commission ,Florida Gateway College,2021,Mobile,"June 17, 1958 (age 64)"
2,Alabama 2,Barry Moore,Republican,Alabama House of Representatives,"Enterprise State Community College (AS)
Auburn University (BS)",2021,Enterprise,"September 26, 1966 (age 55)"
3,Alabama 3,Mike Rogers,Republican,Alabama House of Representatives,"Jacksonville State University (BA, MPA)
Birmingham School of Law (JD)",2003,Anniston ,"July 16, 1958 (age 64)"
4,Alabama 4,Robert Aderholt,Republican,Haleyville Municipal Judge ,"University of North Alabama
Birmingham–Southern College (BA)
Samford University (JD)",1997,Haleyville,"July 22, 1965 (age 57)"
5,Alabama 5,Mo Brooks,Republican,Madison County Commissioner ,"Duke University (BA)
University of Alabama (JD)",2011,Huntsville,"April 29, 1954 (age 68)"
6,Alabama 6,Gary Palmer,Republican,Policy Analyst ,University of Alabama (BS),2015,Hoover,"May 14, 1954 (age 68)"
7,Alabama 7,Terri Sewell,Democratic,Attorney ,"Princeton University (BA)
St Hilda's College, Oxford (MA)
Harvard University (JD)",2011,Birmingham,"January 1, 1965 (age 57)"
8,Alaska at-large,,,,,,,
9,Arizona 1,Tom O'Halleran,Democratic,Arizona Senate,"Lewis University
DePaul University",2017,Sedona,"January 24, 1946 (age 76)"
10,Arizona 2,Ann Kirkpatrick,Democratic,Arizona House of Representatives,"University of Arizona (BA, JD)",2019,Tucson,"March 24, 1950 (age 72)"
11,Arizona 3,Raúl Grijalva,Democratic,Pima County Board of Supervisers ,University of Arizona (BA),2003,Tucson,"February 19, 1948 (age 74)"
12,Arizona 4,Paul Gosar,Republican,President of the Northern Arizona Dental Society ,"Creighton University (BS, DDS)",2011,Prescott,"November 27, 1958 (age 63)"
13,Arizona 5,Andy Biggs,Republican,Arizona Senate,"Brigham Young University (BA)
University of Arizona (JD)
Arizona State University, Phoenix (MA)",2017,Gilbert,"November 7, 1958 (age 63)"
14,Arizona 6,David Schweikert,Republican,Maricopa County Treasurer ,"Arizona State University, Tempe (BS, MBA)",2011,Fountain hills,"March 3, 1962 (age 60)"
15,Arizona 7,Ruben Gallego,Democratic,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,"November 20, 1979 (age 42)"
16,Arizona 8,Debbie Lesko,Republican,Arizona Senate,University of Wisconsin–Madison (BA),2018 (special),Peoria,"November 14, 1958 (age 63)"
17,Arizona 9,Greg Stanton,Democratic,Mayor of Phoenix,"Marquette University (BA)
University of Michigan (JD)",2019,Phoenix,"March 8, 1970 (age 52)"
18,Arkansas 1,Rick Crawford,Republican,Broadcaster Businessman ,Arkansas State University (BS),2011,Jonesboro,"January 22, 1966 (age 56)"
19,Arkansas 2,French Hill,Republican,Businessman ,Vanderbilt University (BS),2015,Little Rock,"December 5, 1956 (age 65)"
20,Arkansas 3,Steve Womack,Republican,Mayor of Rogers,Arkansas Tech University (BA),2011,Rogers,"February 18, 1957 (age 65)"
21,Arkansas 4,Bruce Westerman,Republican,Arkansas House of Representatives,"University of Arkansas (BS)
Yale University (MS)",2015,Hot Springs,"November 18, 1967 (age 54)"
22,California 1,Doug LaMalfa,Republican,California State Assembly,"Butte College
California Polytechnic State University (BS)",2013,Oroville ,"July 2, 1960 (age 62)"
23,California 2,Jared Huffman,Democratic,California State Assembly,"University of California, Santa Barbara (BA)
Boston College (JD)",2013,San Rafael,"February 18, 1964 (age 58)"
24,California 3,John Garamendi,Democratic,California State Assembly,"University of California, Berkeley (BA)
Harvard University (MBA)",2009 (special),Walnut Grove,"January 24, 1945 (age 77)"
25,California 4,Tom McClintock,Republican,California State Assembly,"University of California, Los Angeles (BA)",2009,Elk Grove,"July 10, 1956 (age 66)"
26,California 5,Mike Thompson,Democratic,California State Senate,"Napa Valley College
California State University, Chico (BA, MPA)",1999,St. Helena,"January 24, 1951 (age 71)"
27,California 6,Doris Matsui,Democratic,Sacramento City Council ,"University of California, Berkeley (BA)",2005 (special),Sacramento,"September 25, 1944 (age 77)"
28,California 7,Ami Bera,Democratic,Sacramento County,"University of California, Irvine (BS, MD)",2013,Elk Grove,"March 2, 1965 (age 57)"
29,California 8,Jay Obernolte,Republican,California State Assembly,"California Institute of Technology (BS) University of California, Los Angeles (MS)",2021,Big Bear Lake,"August 18, 1970 (age 51)"
30,California 9,Jerry McNerney,Democratic,Engineering executive ,"United States Military Academy
University of New Mexico (BS, MS, PhD)",2007,Stockton,"June 18, 1951 (age 71)"
31,California 10,Josh Harder,Democratic,Venture Capitalist Professor ,"Stanford University (BA)
Harvard University (MBA, MPP)",2019,Turlock,"August 1, 1986 (age 35)"
32,California 11,Mark DeSaulnier,Democratic,Contra Costa County Board of Supervisors,College of the Holy Cross (BA),2015,Concord,"March 31, 1952 (age 70)"
33,California 12,Nancy Pelosi,Democratic,California Democratic Party,Trinity Washington University (BA),1987 (special),San Francisco,"March 26, 1940 (age 82)"
34,California 13,Barbara Lee,Democratic,California State Assembly,"Mills College (BA)
University of California, Berkeley (MSW)",1998 (special),Oakland,"July 16, 1946 (age 76)"
35,California 14,Jackie Speier,Democratic,San Mateo County Board of Supervisors,"University of California, Davis (BA)
University of California, Hastings (JD)",2008 (special),Hillsborough,"May 14, 1950 (age 72)"
36,California 15,Eric Swalwell,Democratic,Dublin City Council ,"Campbell University
University of Maryland, College Park (BA)
University of Maryland, Baltimore (JD)",2013,Dublin,"November 16, 1980 (age 41)"
37,California 16,Jim Costa,Democratic,California State Assembly,"California State University, Fresno (BA)",2005,Fresno,"April 13, 1952 (age 70)"
38,California 17,Ro Khanna,Democratic,Attorney ,"University of Chicago (BA)
Yale University (JD)",2017,Fremont,"September 13, 1976 (age 45)"
39,California 18,Anna Eshoo,Democratic,San Mateo County Board of Supervisors,Cañada College,1993,Atherton,"December 13, 1942 (age 79)"
40,California 19,Zoe Lofgren,Democratic,Santa Clara County,"Stanford University (BA)
Santa Clara University(JD)",1995,San Jose,"December 21, 1947 (age 74)"
41,California 20,Jimmy Panetta,Democratic,Monterey County,"Monterey Peninsula College
University of California, Davis (BA)
Santa Clara University(JD)",2017,Carmel Valley,"October 1, 1969 (age 52)"
42,California 21,David Valadao,Republican,California State Assembly,College of the Sequoias,2021,Hanford,"April 14, 1977 (age 45)"
43,California 22,Connie Conway,Republican,California State Assembly,"College of the Sequoias
California State University, Fresno",2022 (special),Tulare,"September 25, 1950 (age 71)"
44,California 23,Kevin McCarthy,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,"January 26, 1965 (age 57)"
45,California 24,Salud Carbajal,Democratic,Santa Barbara County,"University of California, Santa Barbara (BA)
Fielding Graduate University (MA)",2017,Santa Barbara,"November 18, 1964 (age 57)"
46,California 25,Mike Garcia,Republican,United States Navy,"United States Naval Academy (BS)
Georgetown University (MA)",2020 (special),Santa Clarita,"April 24, 1976 (age 46)"
47,California 26,Julia Brownley,Democratic,California State Assembly,"George Washington University (BA)
American University (MBA)",2013,Westlake Village ,"August 28, 1952 (age 69)"
48,California 27,Judy Chu,Democratic,California State Board of Equalization,"University of California, Los Angeles (BA)
Alliant International University (MA, PhD)",2009 (special),Monterey Park,"July 7, 1953 (age 69)"
49,California 28,Adam Schiff,Democratic,United States Attorney for the Southern District of California,"Stanford University (BA)
Harvard University (JD)",2001,Burbank,"June 22, 1960 (age 62)"
50,California 29,Tony Cárdenas,Democratic,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,Pacoima,"March 31, 1963 (age 59)"
51,California 30,Brad Sherman,Democratic,California Board of Equalization,"University of California, Los Angeles (BA)
Harvard University (JD)",1997,Sherman Oaks,"October 24, 1954 (age 67)"
52,California 31,Pete Aguilar,Democratic,Redlands,University of Redlands (BS),2015,Redlands,"June 19, 1979 (age 43)"
53,California 32,Grace Napolitano,Democratic,California State Assembly,"Cerritos College
Texas Southmost College",1999,Norwalk,"December 4, 1936 (age 85)"
54,California 33,Ted Lieu,Democratic,California State Assembly,"Stanford University (BA, BS)
Georgetown University (JD)",2015,Torrance,"March 29, 1969 (age 53)"
55,California 34,Jimmy Gomez,Democratic,California State Assembly,"University of California, Los Angeles (BA)
Harvard University (MPP)",2017 (special),Los Angeles,"November 25, 1974 (age 47)"
56,California 35,Norma Torres,Democratic,Pomona,National Labor College (BA),2015,Pomona,"April 4, 1965 (age 57)"
57,California 36,Raul Ruiz,Democratic,Emergency Physician ,"University of California, Los Angeles (BS)
Harvard University (MD, MPP, MPH)",2013,Coachella,"August 25, 1972 (age 49)"
58,California 37,Karen Bass,Democratic,Speaker of the California State Assembly,"San Diego State University
California State University, Dominguez Hills (BS)",2011,Los Angeles,"October 3, 1953 (age 68)"
59,California 38,Linda Sánchez,Democratic,Attorney ,"University of California, Berkeley (BA)
University of California, Los Angeles (JD)",2003,Whittier ,"January 28, 1969 (age 53)"
60,California 39,Young Kim,Republican,California State Assembly,University of Southern California (BBA),2021,La Habra,"October 18, 1962 (age 59)"
61,California 40,Lucille Roybal-Allard,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1993,Downey,"June 12, 1941 (age 81)"
62,California 41,Mark Takano,Democratic,Teacher ,"Harvard University (BA)
University of California, Riverside (MFA)",2013,Riverside,"December 10, 1960 (age 61)"
63,California 42,Ken Calvert,Republican,Real estate executive ,"Chaffey College
San Diego State University (BA)",1993,Corona,"June 8, 1953 (age 69)"
64,California 43,Maxine Waters,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1991,Los Angeles,"August 15, 1938 (age 83)"
65,California 44,Nanette Barragán,Democratic,Hermosa Beach,"University of California, Los Angeles (BA)
University of Southern California (JD)",2017,San Pedro,"September 15, 1976 (age 45)"
66,California 45,Katie Porter,Democratic,Attorney ,"Yale University (BA)
Harvard University (JD)",2019,Irvine,"January 3, 1974 (age 48)"
67,California 46,Lou Correa,Democratic,California State Assembly,"California State University, Fullerton (BA)
University of California, Los Angeles (JD, MBA)",2017,Santa Ana,"January 24, 1958 (age 64)"
68,California 47,Alan Lowenthal,Democratic,California State Assembly,"Hobart College (BA)
Ohio State University (MA, PhD)",2013,Long Beach,"March 8, 1941 (age 81)"
69,California 48,Michelle Steel,Republican,California State Board of Equalization,"Pepperdine University (BA)
University of Southern California (MBA)",2021,Surfside,"June 21, 1955 (age 67)"
70,California 49,Mike Levin,Democratic,Environmental activist ,"Stanford University (BA)
Duke University (JD)",2019,San Juan Capistrano,"October 20, 1978 (age 43)"
71,California 50,Darrell Issa,Republican,Businessman ,Siena Heights University (BA),2021,San Diego,"November 1, 1953 (age 68)"
